Timestamp;PID;PID_NAME;COMMAND;CPU%;CPU#;CPUWait%;UserCPU%;SystemCPU%;GuestCPU%;AppThreads;fdNR; MinorFaults minflt/s;MajorFaults majflt/s ;MemVSZ(KB);MemRSS(KB);Mem%;StackSize;StackRef; DiskRead(kB/s);DiskWrite(kB/s);kB_ccwr/s;iodelay;CSWCH;NS_CSWCH
11.04.2024 08:12:09;853;php-fpm: master process (/etc/php-fpm.conf);php-fpm;0.0;0;0.35;0.02;0.02; 0.00;1;10;41.02;3.42;182500; 27096;1.35;132;32;247.12;0.07;0.07;0;4.51;1.05
11.04.2024 08:12:09;914;php-fpm: pool www;php-fpm;0.0;0;0.08;0.00;0.00; 0.00;1;6;4.38;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.02;0.05
11.04.2024 08:12:10;915;php-fpm: pool www;php-fpm;0.0;0;0.08;0.00;0.00; 0.00;1;6;4.35;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.02;0.05
11.04.2024 08:12:10;916;php-fpm: pool www;php-fpm;0.0;0;0.08;0.00;0.00; 0.00;1;6;4.32;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.02;0.06
11.04.2024 08:12:11;920;php-fpm: pool www;php-fpm;0.0;0;0.06;0.00;0.00; 0.00;1;6;4.30;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.02;0.06
11.04.2024 08:12:11;921;php-fpm: pool www;php-fpm;0.0;0;0.06;0.00;0.00; 0.00;1;6;4.29;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.02;0.05
11.04.2024 08:12:17;853;php-fpm: master process (/etc/php-fpm.conf);php-fpm;0.0;0;0.31;0.01;0.01; 0.00;1;10;36.42;3.03;182500; 27096;1.35;132;32;219.42;0.06;0.06;0;4.14;0.93
11.04.2024 08:12:17;914;php-fpm: pool www;php-fpm;0.0;0;0.07;0.00;0.00; 0.00;1;6;3.89;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:18;915;php-fpm: pool www;php-fpm;0.0;0;0.07;0.00;0.00; 0.00;1;6;3.87;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:18;916;php-fpm: pool www;php-fpm;0.0;0;0.07;0.00;0.00; 0.00;1;6;3.85;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.06
11.04.2024 08:12:18;920;php-fpm: pool www;php-fpm;0.0;0;0.06;0.00;0.00; 0.00;1;6;3.82;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.06
11.04.2024 08:12:19;921;php-fpm: pool www;php-fpm;0.0;0;0.06;0.00;0.00; 0.00;1;6;3.82;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:24;853;php-fpm: master process (/etc/php-fpm.conf);php-fpm;0.0;0;0.28;0.01;0.03; 0.00;1;10;32.74;2.73;182500; 27096;1.35;132;32;197.30;0.05;0.05;0;3.83;0.84
11.04.2024 08:12:25;914;php-fpm: pool www;php-fpm;0.0;0;0.07;0.00;0.00; 0.00;1;6;3.50;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:25;915;php-fpm: pool www;php-fpm;0.0;0;0.06;0.00;0.00; 0.00;1;6;3.48;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:26;916;php-fpm: pool www;php-fpm;0.0;0;0.06;0.00;0.00; 0.00;1;6;3.46;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.05
11.04.2024 08:12:26;920;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;3.45;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.05
11.04.2024 08:12:26;921;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;3.44;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:32;853;php-fpm: master process (/etc/php-fpm.conf);php-fpm;0.0;0;0.25;0.01;0.02; 0.00;1;10;29.74;2.48;182500; 27096;1.35;132;32;179.23;0.05;0.05;0;3.57;0.76
11.04.2024 08:12:33;914;php-fpm: pool www;php-fpm;0.0;0;0.06;0.00;0.00; 0.00;1;6;3.18;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:33;915;php-fpm: pool www;php-fpm;0.0;0;0.06;0.00;0.00; 0.00;1;6;3.16;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:33;916;php-fpm: pool www;php-fpm;0.0;0;0.06;0.00;0.00; 0.00;1;6;3.15;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.05
11.04.2024 08:12:34;920;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;3.14;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.05
11.04.2024 08:12:34;921;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;3.13;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.03
11.04.2024 08:12:40;853;php-fpm: master process (/etc/php-fpm.conf);php-fpm;0.0;0;0.23;0.01;0.02; 0.00;1;10;27.25;2.27;182500; 27096;1.35;132;32;164.22;0.04;0.04;0;3.37;0.70
11.04.2024 08:12:40;914;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;2.91;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.03
11.04.2024 08:12:41;915;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;2.90;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.03
11.04.2024 08:12:41;916;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;2.89;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:41;920;php-fpm: pool www;php-fpm;0.0;0;0.04;0.00;0.00; 0.00;1;6;2.88;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:42;921;php-fpm: pool www;php-fpm;0.0;0;0.04;0.00;0.00; 0.00;1;6;2.88;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.03
11.04.2024 08:12:48;853;php-fpm: master process (/etc/php-fpm.conf);php-fpm;0.0;0;0.21;0.01;0.02; 0.00;1;10;25.14;2.09;182500; 27096;1.35;132;32;151.50;0.04;0.04;0;3.20;0.64
11.04.2024 08:12:48;914;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;2.69;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.03
11.04.2024 08:12:48;915;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;2.68;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.03
11.04.2024 08:12:49;916;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;2.67;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:49;920;php-fpm: pool www;php-fpm;0.0;0;0.04;0.00;0.00; 0.00;1;6;2.66;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:49;921;php-fpm: pool www;php-fpm;0.0;0;0.04;0.00;0.00; 0.00;1;6;2.66;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.03
11.04.2024 08:12:55;853;php-fpm: master process (/etc/php-fpm.conf);php-fpm;0.0;0;0.20;0.01;0.02; 0.00;1;10;23.33;1.94;182500; 27096;1.35;132;32;140.62;0.04;0.04;0;3.04;0.60
11.04.2024 08:12:56;914;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;2.50;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.03
11.04.2024 08:12:56;915;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;2.49;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.03
11.04.2024 08:12:56;916;php-fpm: pool www;php-fpm;0.0;0;0.05;0.00;0.00; 0.00;1;6;2.48;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:57;920;php-fpm: pool www;php-fpm;0.0;0;0.04;0.00;0.00; 0.00;1;6;2.47;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.04
11.04.2024 08:12:57;921;php-fpm: pool www;php-fpm;0.0;0;0.04;0.00;0.00; 0.00;1;6;2.47;0.00;184356; 12160;0.61;132;16;0.00;0.00;0.00;0;0.01;0.03
11.04.2024 08:13:03;853;php-fpm: master process (/etc/php-fpm.conf);php-fpm;0.0;0;0.18;0.01;0.02; 0.00;1;10;21.76;1.81;182500; 27096;1.35;132;32;131.13;0.03;0.03;0;2.91;0.56
