"Time","Result"
"11.04.2024 16:06:28","3ms, Maximum"
"11.04.2024 16:06:34","3ms, Maximum"
"11.04.2024 16:06:39","2ms, Maximum"
"11.04.2024 16:06:44","2ms, Maximum"
